year,name,fraction,sex
1880,John,0.081546,m
1880,Mary,0.072384,f
1880,William,0.080499,m
1880,Anna,0.026679,f
1880,James,0.05006,m
1880,Emma,0.020522,f
1880,Charles,0.045169,m
1880,Elizabeth,0.019866,f
1880,George,0.043294,m
1880,Minnie,0.017889,f
1880,Frank,0.027382,m
1880,Margaret,0.016167,f
1880,Joseph,0.02223,m
1880,Ida,0.015081,f
1880,Thomas,0.021402,m
1880,Alice,0.014487,f
1880,Henry,0.020642,m
1880,Bertha,0.013524,f
1880,Robert,0.020397,m
1880,Sarah,0.013196,f
1880,Edward,0.019966,m
1880,Annie,0.012889,f
1880,Harry,0.018176,m
1880,Clara,0.012561,f
1880,Walter,0.014823,m
1880,Ella,0.011844,f
1880,Arthur,0.013505,m
1880,Florence,0.010891,f
1880,Fred,0.013252,m
1880,Cora,0.010707,f
1880,Albert,0.01261,m
1880,Martha,0.010655,f
1880,Samuel,0.008649,m
1880,Laura,0.010368,f
1880,David,0.00734,m
1880,Nellie,0.010194,f
1880,Louis,0.006993,m
1880,Grace,0.010061,f
1880,Joe,0.006174,m
1880,Carrie,0.009723,f
1880,Charlie,0.006166,m
1880,Maude,0.008791,f
1880,Clarence,0.006166,m
1880,Mabel,0.008278,f
1880,Richard,0.006149,m
1880,Bessie,0.008155,f
1880,Andrew,0.005439,m
1880,Jennie,0.008125,f
1880,Daniel,0.005431,m
1880,Gertrude,0.008063,f
1880,Ernest,0.005194,m
1880,Julia,0.008022,f
1880,Will,0.004966,m
1880,Hattie,0.007879,f
1880,Jesse,0.004806,m
1880,Edith,0.007869,f
1880,Oscar,0.004595,m
1880,Mattie,0.007213,f
1880,Lewis,0.004367,m
1880,Rose,0.007172,f
1880,Peter,0.004189,m
1880,Catherine,0.007049,f
1880,Benjamin,0.004139,m
1880,Lillian,0.006885,f
1880,Frederick,0.004079,m
1880,Ada,0.00668,f
1880,Willie,0.00402,m
1880,Lillie,0.006629,f
1880,Alfred,0.003961,m
1880,Helen,0.006516,f
1880,Sam,0.00386,m
1880,Jessie,0.006506,f
1880,Roy,0.003716,m
1880,Louise,0.006506,f
1880,Herbert,0.003581,m
1880,Ethel,0.006485,f
1880,Jacob,0.003412,m
1880,Lula,0.006362,f
1880,Tom,0.00337,m
1880,Myrtle,0.006301,f
1880,Elmer,0.00315,m
1880,Eva,0.006291,f
1880,Carl,0.003142,m
1880,Frances,0.006199,f
1880,Lee,0.003049,m
1880,Lena,0.006178,f
1880,Howard,0.003015,m
1880,Lucy,0.006045,f
1880,Martin,0.003015,m
1880,Edna,0.006024,f
1880,Michael,0.00299,m
1880,Maggie,0.005963,f
1880,Bert,0.002939,m
1880,Pearl,0.00583,f
1880,Herman,0.002931,m
1880,Daisy,0.005778,f
1880,Jim,0.002914,m
1880,Fannie,0.005737,f
1880,Francis,0.002905,m
1880,Josephine,0.005574,f
1880,Harvey,0.002905,m
1880,Dora,0.005369,f
1880,Earl,0.002829,m
1880,Rosa,0.005194,f
1880,Eugene,0.00277,m
1880,Katherine,0.005143,f
1880,Ralph,0.002677,m
1880,Agnes,0.004846,f
1880,Ed,0.002618,m
1880,Marie,0.004826,f
1880,Claude,0.00261,m
1880,Nora,0.004826,f
1880,Edwin,0.00261,m
1880,May,0.004733,f
1880,Ben,0.002576,m
1880,Mamie,0.004467,f
1880,Charley,0.002576,m
1880,Blanche,0.004375,f
1880,Paul,0.002542,m
1880,Stella,0.004242,f
1880,Edgar,0.00239,m
1880,Ellen,0.004211,f
1880,Isaac,0.002314,m
1880,Nancy,0.004201,f
1880,Otto,0.002289,m
1880,Effie,0.00416,f
1880,Luther,0.002196,m
1880,Sallie,0.004139,f
1880,Lawrence,0.002171,m
1880,Nettie,0.004129,f
1880,Ira,0.002103,m
1880,Della,0.004006,f
1880,Patrick,0.002095,m
1880,Lizzie,0.003975,f
1880,Guy,0.002019,m
1880,Flora,0.00374,f
1880,Oliver,0.001976,m
1880,Susie,0.003699,f
1880,Theodore,0.001959,m
1880,Maud,0.003535,f
1880,Hugh,0.001892,m
1880,Mae,0.003524,f
1880,Clyde,0.001867,m
1880,Etta,0.003309,f
1880,Alexander,0.001782,m
1880,Harriet,0.003268,f
1880,August,0.001774,m
1880,Sadie,0.003248,f
1880,Floyd,0.00174,m
1880,Caroline,0.003135,f
1880,Homer,0.001731,m
1880,Katie,0.003104,f
1880,Jack,0.001723,m
1880,Lydia,0.003094,f
1880,Leonard,0.001689,m
1880,Elsie,0.003084,f
1880,Horace,0.001681,m
1880,Kate,0.003063,f
1880,Marion,0.001596,m
1880,Susan,0.00293,f
1880,Philip,0.001571,m
1880,Mollie,0.002899,f
1880,Allen,0.001554,m
1880,Alma,0.002838,f
1880,Archie,0.001546,m
1880,Addie,0.002807,f
1880,Stephen,0.001486,m
1880,Georgia,0.002654,f
1880,Chester,0.001419,m
1880,Eliza,0.002582,f
1880,Willis,0.001402,m
1880,Lulu,0.002551,f
1880,Raymond,0.001394,m
1880,Nannie,0.002541,f
1880,Rufus,0.001377,m
1880,Lottie,0.00251,f
1880,Warren,0.001334,m
1880,Amanda,0.002469,f
1880,Jessie,0.001301,m
1880,Belle,0.002438,f
1880,Milton,0.001258,m
1880,Charlotte,0.002428,f
1880,Alex,0.001242,m
1880,Rebecca,0.002418,f
1880,Leo,0.001242,m
1880,Ruth,0.002397,f
1880,Julius,0.001208,m
1880,Viola,0.002346,f
1880,Ray,0.001199,m
1880,Olive,0.002295,f
1880,Sidney,0.001199,m
1880,Amelia,0.002264,f
1880,Bernard,0.001182,m
1880,Hannah,0.002264,f
1880,Dan,0.001182,m
1880,Jane,0.002203,f
1880,Jerry,0.001149,m
1880,Virginia,0.002182,f
1880,Calvin,0.001132,m
1880,Emily,0.002152,f
1880,Perry,0.001132,m
1880,Matilda,0.002152,f
1880,Dave,0.001106,m
1880,Irene,0.00209,f
1880,Anthony,0.001098,m
1880,Kathryn,0.00209,f
1880,Eddie,0.00109,m
1880,Esther,0.002029,f
1880,Amos,0.001081,m
1880,Willie,0.001967,f
1880,Dennis,0.001081,m
1880,Henrietta,0.001957,f
1880,Clifford,0.001073,m
1880,Ollie,0.001875,f
1880,Leroy,0.001047,m
1880,Amy,0.001711,f
1880,Wesley,0.001039,m
1880,Rachel,0.001701,f
